"","Symbol_Mouse","Symbol_Human"
"1","Acadm","ACADM"
"2","Acadvl","ACADVL"
"3","Acat1","ACAT1"
"4","Acvr1","ACVR1"
"5","Sgca","SGCA"
"6","Adsl","ADSL"
"7","Aga","AGA"
"8","Agt","AGT"
"9","Alad","ALAD"
"10","Alas2","ALAS2"
"11","Ampd1","AMPD1"
"12","Apoh","APOH"
"13","Fas","FAS"
"14","Ar","AR"
"15","Arg1","ARG1"
"16","Asl","ASL"
"17","Aspa","ASPA"
"18","Atp7a","ATP7A"
"19","Bckdhb","BCKDHB"
"20","Brca2","BRCA2"
"21","Serping1","SERPING1"
"22","C2","C2"
"23","C6","C6"
"24","C8b","C8B"
"25","Capn3","CAPN3"
"26","Cd3g","CD3G"
"27","Cd40lg","CD40LG"
"28","Chrna1","CHRNA1"
"29","Chrne","CHRNE"
"30","Lyst","LYST"
"31","Ercc8","ERCC8"
"32","Clcn1","CLCN1"
"33","Clcnka","CLCNKB"
"34","Col1a2","COL1A2"
"35","Col7a1","COL7A1"
"36","Comp","COMP"
"37","Cp","CP"
"38","Cpox","CPOX"
"39","Cpt2","CPT2"
"40","Cst3","CST3"
"41","Cstb","CSTB"
"42","Cyba","CYBA"
"43","Ddb2","DDB2"
"44","Dld","DLD"
"45","Dpyd","DPYD"
"46","Edn3","EDN3"
"47","Ednrb","EDNRB"
"48","Emd","EMD"
"49","Eng","ENG"
"50","Epb42","EPB42"
"51","Ephx1","EPHX1"
"52","Epor","EPOR"
"53","Ercc3","ERCC3"
"54","Etfa","ETFA"
"55","F5","F5"
"56","F9","F9"
"57","Fabp2","FABP2"
"58","Fanca","FANCA"
"59","Fancc","FANCC"
"60","Fah","FAH"
"61","Ms4a2","MS4A2"
"62","Fech","FECH"
"63","Fh1","FH"
"64","Fshr","FSHR"
"65","Fuca2","FUCA2"
"66","Fut1","FUT1"
"67","Galc","GALC"
"68","Galk1","GALK1"
"69","Galt","GALT"
"70","Gbe1","GBE1"
"71","Gcdh","GCDH"
"72","Gcgr","GCGR"
"73","Gch1","GCH1"
"74","Ghr","GHR"
"75","Gja1","GJA1"
