"","Symbol_Mouse","Symbol_Rat"
"1","Acadm","Acadm"
"2","Acadvl","Acadvl"
"3","Acat1","Acat1"
"4","Acvr1","Acvr1"
"5","Sgca","Sgca"
"6","Adsl","Adsl"
"7","Aga","Aga"
"8","Agt","Agt"
"9","Alad","Alad"
"10","Alas2","Alas2"
"11","Ampd1","Ampd1"
"12","Apoh","Apoh"
"13","Fas","Fas"
"14","Ar","Ar"
"15","Arg1","Arg1"
"16","Asl","Asl"
"17","Aspa","Aspa"
"18","Atp7a","Atp7a"
"19","Bckdhb","Bckdhb"
"20","Brca2","Brca2"
"21","Serping1","Serping1"
"22","C2","C2"
"23","C6","C6"
"24","C8b","C8b"
"25","Capn3","Capn3"
"26","Cd3g","Cd3g"
"27","Cd40lg","Cd40lg"
"28","Chrna1","Chrna1"
"29","Chrne","Chrne"
"30","Lyst","Lyst"
"31","Ercc8","Ercc8"
"32","Clcn1","Clcn1"
"33","Clcnka","Clcnka"
"34","Col1a2","Col1a2"
"35","Col7a1","Col7a1"
"36","Comp","Comp"
"37","Cp","Cp"
"38","Cpox","Cpox"
"39","Cpt2","Cpt2"
"40","Cst3","Cst3"
"41","Cstb","Cstb"
"42","Cyba","Cyba"
"43","Ddb2","Ddb2"
"44","Dld","Dld"
"45","Dpyd","Dpyd"
"46","Edn3","Edn3"
"47","Ednrb","Ednrb"
"48","Emd","Emd"
"49","Eng","Eng"
"50","Epb42","Epb42"
"51","Ephx1","Ephx1"
"52","Epor","Epor"
"53","Ercc3","Ercc3"
"54","Etfa","Etfa"
"55","F5","F5"
"56","F9","F9"
"57","Fabp2","Fabp2"
"58","Fanca","Fanca"
"59","Fancc","Fancc"
"60","Fah","Fah"
"61","Ms4a2","Ms4a2"
"62","Fech","Fech"
"63","Fh1","Fh"
"64","Fshr","Fshr"
"65","Fuca2","Fuca2"
"66","Fut1","Fut1"
"67","Galc","Galc"
"68","Galk1","Galk1"
"69","Galt","Galt"
"70","Gbe1","Gbe1"
"71","Gcdh","Gcdh"
"72","Gcgr","Gcgr"
"73","Gch1","Gch1"
"74","Ghr","Ghr"
